trade_id,strategy_id,match_id,side,entry_ts,entry_px,entry_mid,entry_fair,entry_band_lo,entry_band_hi,entry_spread_abs,exit_ts,exit_px,exit_reason,hold_minutes,contracts,pnl_price,pnl_$,bankroll_before,bankroll_after,ret_pct_account
0d29fae0722fb554,S2_mr_to_current_fair,1,SHORT,2026-02-06T05:40:25,0.81,0.8400000000000001,0.6000000000000001,0.4956419124640691,0.7005936059874567,0.06,2026-02-06T05:52:08,1.0,match_end,11.716666666666667,100,-0.18999999999999995,-18.999999999999993,2000.0,1981.0,-0.009499999999999996
fb63774d465abcdc,S2_mr_to_current_fair,3,SHORT,2026-02-06T11:02:33,0.51,0.53,0.3837230082328619,0.3575786933101407,0.409897449,0.04,2026-02-06T12:25:57,0.07,to_current_fair,83.4,100,0.44,44.0,1981.0,2025.0,0.02221100454316002
24a8a4540ac09840,S2_mr_to_current_fair,4,SHORT,2026-02-06T14:33:54,0.71,0.725,0.5610080502325838,0.524919996,0.5956394938825269,0.03,2026-02-06T14:51:48,0.45,to_current_fair,17.9,100,0.25999999999999995,25.999999999999996,2025.0,2051.0,0.012839506172839504
201b5633617f3156,S2_mr_to_current_fair,4,SHORT,2026-02-06T15:52:51,0.93,0.94,0.7769038796724953,0.7410120286953454,0.8123248543528588,0.0199999999999999,2026-02-06T15:58:27,1.0,match_end,5.6,100,-0.06999999999999995,-6.999999999999995,2051.0,2044.0,-0.003412969283276448
9993d333d64a6070,S2_mr_to_current_fair,9,SHORT,2026-02-08T02:47:47,0.58,0.6,0.3686518400031427,0.3353352751167315,0.4022846184846116,0.04,2026-02-08T02:56:42,0.32,to_current_fair,8.916666666666666,100,0.25999999999999995,25.999999999999996,2044.0,2070.0,0.012720156555772992
df025319552492d3,S2_mr_to_current_fair,9,SHORT,2026-02-08T04:16:25,0.48,0.5,0.2901802290641839,0.2110045728250489,0.3729790901455332,0.04,2026-02-08T04:32:41,0.08,to_current_fair,16.266666666666666,100,0.39999999999999997,40.0,2070.0,2110.0,0.01932367149758454
972bc9e56f7a1387,S2_mr_to_current_fair,10,SHORT,2026-02-08T09:57:26,0.19,0.205,4.3293107714773187e-10,4.3293107714773187e-10,4.3293107714773187e-10,0.03,2026-02-08T09:57:26,0.0,match_end,0.0,100,0.19,19.0,2110.0,2129.0,0.00900473933649289
153ddd3fce5dbbfd,S2_mr_to_current_fair,15,SHORT,2026-02-11T10:55:06,0.64,0.6699999999999999,0.2959204240299484,0.2096178071543903,0.3864007263193256,0.0599999999999999,2026-02-11T11:06:44,1.0,match_end,11.633333333333333,100,-0.36,-36.0,2129.0,2093.0,-0.016909347111319868
14155d5323417072,S2_mr_to_current_fair,16,SHORT,2026-02-11T11:16:55,0.81,0.8300000000000001,0.4899535310414787,0.3678528658819913,0.6123885429404015,0.0399999999999999,2026-02-11T11:26:13,0.85,to_current_fair,9.3,100,-0.039999999999999925,-3.9999999999999925,2093.0,2089.0,-0.001911132345914951
f2f14db0c9446cb2,S2_mr_to_current_fair,21,LONG,2026-02-14T01:31:48,0.66,0.645,0.8190197291854585,0.7671845994140782,0.8688845346269712,0.03,2026-02-14T02:02:56,0.9,to_current_fair,31.133333333333333,100,0.24,24.0,2089.0,2113.0,0.011488750598372427
d7d108b74c015674,S2_mr_to_current_fair,21,LONG,2026-02-14T02:27:50,0.52,0.505,0.6624944468230257,0.6365616678851315,0.6887644746878712,0.03,2026-02-14T02:31:23,0.48,to_current_fair,3.55,100,-0.040000000000000036,-4.0000000000000036,2113.0,2109.0,-0.0018930430667297698
a54f27e74b10acf2,S2_mr_to_current_fair,24,SHORT,2026-02-14T10:40:54,0.34,0.36,0.024739540493557,0.01193914865023,0.0396076493678251,0.0399999999999999,2026-02-14T10:41:17,0.38,to_current_fair,0.38333333333333336,100,-0.03999999999999998,-3.9999999999999982,2109.0,2105.0,-0.0018966334755808432
7bb1b12dbea29a27,S2_mr_to_current_fair,23,LONG,2026-02-16T01:15:56,0.18,0.175,0.3847832823628914,0.3296590509583761,0.4366268869996601,0.0099999999999999,2026-02-16T02:22:10,0.41,to_current_fair,66.23333333333333,100,0.22999999999999998,23.0,2105.0,2128.0,0.010926365795724466
4a2dcaee530abc9a,S2_mr_to_current_fair,23,LONG,2026-02-16T03:03:18,0.1,0.085,0.285269193234879,0.2387951078900511,0.3328892331458847,0.03,2026-02-16T03:13:49,0.34,to_current_fair,10.516666666666667,100,0.24000000000000002,24.000000000000004,2128.0,2152.0,0.011278195488721806
7a9031f156525e74,S2_mr_to_current_fair,23,LONG,2026-02-16T03:18:18,0.36,0.3399999999999999,0.5411534299335,0.4867091580742309,0.5953394263671126,0.0399999999999999,2026-02-16T03:23:07,0.0,match_end,4.816666666666666,100,-0.36,-36.0,2152.0,2116.0,-0.016728624535315983
c4366ebd56312934,S2_mr_to_current_fair,24,LONG,2026-02-16T03:49:20,0.07,0.06,0.5311172192721029,0.4896153883084589,0.5734463174603837,0.02,2026-02-16T03:49:47,0.65,to_current_fair,0.45,100,0.5800000000000001,58.00000000000001,2116.0,2174.0,0.02741020793950851
756c63e9ca7d80d9,S2_mr_to_current_fair,24,LONG,2026-02-16T05:59:05,0.4,0.385,0.6825793146853548,0.6014157079758413,0.7608514638980115,0.03,2026-02-16T06:04:32,0.74,to_current_fair,5.45,100,0.33999999999999997,34.0,2174.0,2208.0,0.015639374425023
c46400c3bcae1a58,S2_mr_to_current_fair,24,LONG,2026-02-16T06:32:06,0.41,0.4,0.5770840317448211,0.5213397540367415,0.6323141586363858,0.0199999999999999,2026-02-16T06:34:17,0.72,to_current_fair,2.183333333333333,100,0.31,31.0,2208.0,2239.0,0.014039855072463768
55511f521ecdd242,S2_mr_to_current_fair,25,LONG,2026-02-16T10:08:25,0.44,0.42,0.6086212020714972,0.5796239579438329,0.6374074684397383,0.0399999999999999,2026-02-16T10:17:23,0.64,to_current_fair,8.966666666666667,100,0.2,20.0,2239.0,2259.0,0.008932559178204555
678f87c1d0f96b66,S2_mr_to_current_fair,25,LONG,2026-02-16T11:55:26,0.46,0.45,0.6779076842041387,0.589706547099272,0.7627948868495846,0.02,2026-02-16T12:19:27,0.0,match_end,24.016666666666666,100,-0.46,-46.0,2259.0,2213.0,-0.02036299247454626
cabb29ae54be53de,S2_mr_to_current_fair,27,SHORT,2026-02-17T04:39:12,0.67,0.675,0.4390716929920751,0.3818413151987414,0.4925170244305062,0.01,2026-02-17T04:43:56,0.66,to_current_fair,4.733333333333333,100,0.010000000000000009,1.0000000000000009,2213.0,2214.0,0.0004518752824220519
f762d424f09a562e,S2_mr_to_current_fair,28,SHORT,2026-02-17T11:20:07,0.5,0.505,1e-09,1e-09,1e-09,0.01,2026-02-17T11:20:07,0.0,match_end,0.0,100,0.5,50.0,2214.0,2264.0,0.022583559168925023
05547cb20995273f,S2_mr_to_current_fair,29,LONG,2026-02-20T03:05:35,0.31,0.28,0.5316175626407299,0.4292058662142474,0.633307736429011,0.06,2026-02-20T03:14:20,0.0,match_end,8.75,100,-0.31,-31.0,2264.0,2233.0,-0.013692579505300354
